date,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
2017-09-30 00:00:00,4175.0,4300.0,4138.1,4300.0,293.173204,2017-09-30 07:59:59.999,1239669.2959492,3422,128.455801,544933.76555084
2017-09-30 08:00:00,4310.0,4358.99,4266.11,4353.98,228.174464,2017-09-30 15:59:59.999,984935.63198147,3246,81.25803,351511.23695476
2017-09-30 16:00:00,4349.0,4380.0,4307.5,4378.51,199.005515,2017-09-30 23:59:59.999,863749.47291469,2656,83.252862,362095.22002434
2017-10-01 00:00:00,4378.49,4378.49,4265.02,4335.82,219.207955,2017-10-01 07:59:59.999,946204.80618613,3286,92.136066,398475.73751807
2017-10-01 08:00:00,4335.82,4359.6,4240.04,4299.99,285.780118,2017-10-01 15:59:59.999,1229859.07590553,3764,88.370637,380813.79985359
2017-10-01 16:00:00,4290.17,4406.52,4270.01,4378.48,221.975612,2017-10-01 23:59:59.999,961080.00975291,2766,111.469201,484176.32929852
2017-10-02 00:00:00,4400.0,4560.0,4380.01,4424.01,227.975363,2017-10-02 07:59:59.999,1011587.0143029,2860,113.987552,506762.9822069
2017-10-02 08:00:00,4434.22,4561.63,4390.0,4409.09,288.592126,2017-10-02 15:59:59.999,1280977.48718081,3152,129.345547,576278.12159681
2017-10-02 16:00:00,4409.09,4433.11,4360.0,4380.0,139.189485,2017-10-02 23:59:59.999,612718.27422474,2173,46.208307,203745.78671254
2017-10-03 00:00:00,4380.0,4467.33,4213.21,4271.0,409.929213,2017-10-03 07:59:59.999,1766317.15817044,4729,208.050552,896044.05350314
2017-10-03 08:00:00,4280.0,4310.0,4180.8,4258.57,427.827399,2017-10-03 15:59:59.999,1815401.63776705,4227,213.426349,906256.74093059
2017-10-03 16:00:00,4258.58,4329.86,4222.02,4310.0,244.566951,2017-10-03 23:59:59.999,1045703.9469013,3423,71.25828,305161.31596538
2017-10-04 00:00:00,4314.9,4373.0,4274.0,4310.01,242.326419,2017-10-04 07:59:59.999,1047344.65263142,3341,59.598304,257771.3523314
2017-10-04 08:00:00,4310.01,4328.0,4142.0,4211.01,394.963193,2017-10-04 15:59:59.999,1662226.49345889,4152,133.800069,563609.40937401
2017-10-04 16:00:00,4211.01,4236.63,4153.02,4208.59,231.175489,2017-10-04 23:59:59.999,966843.9544586,3513,99.530404,416171.60760055
2017-10-05 00:00:00,4208.59,4235.0,4110.0,4154.1,295.657193,2017-10-05 07:59:59.999,1230433.31761762,3466,136.113179,566292.99059378
2017-10-05 08:00:00,4154.1,4335.0,4112.23,4314.49,318.115857,2017-10-05 15:59:59.999,1350636.26175302,3355,161.182005,684014.14193838
2017-10-05 16:00:00,4288.0,4355.0,4275.0,4292.43,165.365588,2017-10-05 23:59:59.999,714463.24460715,2337,53.746835,232729.7010739
2017-10-06 00:00:00,4318.99,4410.0,4292.0,4392.36,187.497963,2017-10-06 07:59:59.999,815553.46728913,2246,110.098331,479922.17437332
2017-10-06 08:00:00,4396.0,4417.0,4312.57,4382.07,217.913334,2017-10-06 15:59:59.999,955668.66554167,2885,78.62492,344732.51698834
2017-10-06 16:00:00,4382.07,4400.0,4315.95,4369.0,101.117879,2017-10-06 23:59:59.999,440812.99131159,1415,37.424926,163451.91127897
2017-10-07 00:00:00,4369.0,4399.0,4330.09,4334.0,112.434219,2017-10-07 07:59:59.999,491987.34461075,1954,54.698787,239621.50259808
2017-10-07 08:00:00,4335.0,4388.54,4312.56,4343.01,86.377848,2017-10-07 15:59:59.999,375509.46984805,1329,38.218255,166411.39242407
2017-10-07 16:00:00,4343.01,4479.5,4326.02,4423.0,98.785433,2017-10-07 23:59:59.999,435036.40013401,1521,52.396034,231113.96307088
2017-10-08 00:00:00,4425.0,4517.0,4425.0,4455.99,135.996632,2017-10-08 07:59:59.999,606062.03190013,2334,67.422948,300789.80821578
2017-10-08 08:00:00,4454.99,4599.0,4441.01,4590.0,201.662109,2017-10-08 15:59:59.999,910325.51742157,2970,123.712081,558747.06644304
2017-10-08 16:00:00,4590.0,4658.0,4525.0,4640.0,180.803263,2017-10-08 23:59:59.999,830968.92012484,2276,88.959825,409123.95533316
2017-10-09 00:00:00,4640.0,4660.0,4550.0,4584.06,150.503513,2017-10-09 07:59:59.999,694376.58147636,2136,78.422683,361863.37803051
2017-10-09 08:00:00,4587.02,4699.98,4564.32,4664.31,161.991686,2017-10-09 15:59:59.999,749203.68645143,2619,73.80385,341531.64228025
2017-10-09 16:00:00,4684.99,4889.98,4664.11,4786.95,333.967946,2017-10-09 23:59:59.999,1596928.63643608,5617,198.530026,950879.61718347
2017-10-10 00:00:00,4786.95,4888.88,4780.0,4785.78,228.184178,2017-10-10 07:59:59.999,1102136.67930851,4513,97.485144,471586.18504798
2017-10-10 08:00:00,4787.88,4880.0,4720.16,4831.99,313.734462,2017-10-10 15:59:59.999,1508394.35460559,3534,214.158087,1030542.06309205
2017-10-10 16:00:00,4830.97,4960.0,4680.59,4783.06,501.303133,2017-10-10 23:59:59.999,2433752.82956172,3920,367.189443,1787485.51259971
2017-10-11 00:00:00,4783.06,4840.0,4710.0,4829.99,479.933428,2017-10-11 07:59:59.999,2291691.19511671,3533,387.777167,1852301.57342299
2017-10-11 08:00:00,4820.0,4852.22,4751.01,4825.01,201.096102,2017-10-11 15:59:59.999,966792.84847379,1742,111.051995,534719.43411637
2017-10-11 16:00:00,4839.99,4881.61,4800.57,4821.43,72.399866,2017-10-11 23:59:59.999,350756.86544869,620,41.258813,199956.71143509
2017-10-12 00:00:00,4821.43,5010.2,4810.16,5010.2,115.979794,2017-10-12 07:59:59.999,567353.05252827,1269,74.416313,364790.18785782
2017-10-12 08:00:00,5010.2,5325.0,5010.2,5305.01,661.217828,2017-10-12 15:59:59.999,3427481.40816641,3909,460.428077,2387188.76246368
2017-10-12 16:00:00,5316.42,5439.99,5239.99,5430.0,499.50386,2017-10-12 23:59:59.999,2664924.83049898,2852,261.750329,1397688.64882964
2017-10-13 00:00:00,5439.99,5846.17,5379.84,5628.02,891.681577,2017-10-13 07:59:59.999,5001659.87180464,5980,412.559333,2305707.18897062
2017-10-13 08:00:00,5631.01,5800.0,5566.84,5762.25,526.972868,2017-10-13 15:59:59.999,2992888.50427444,3393,269.278112,1530393.00851205
2017-10-13 16:00:00,5762.24,5779.0,5520.0,5649.98,461.173175,2017-10-13 23:59:59.999,2602791.92497079,2290,196.800632,1109686.16623368
2017-10-14 00:00:00,5650.0,5722.87,5580.01,5653.41,331.344718,2017-10-14 07:59:59.999,1871746.39943685,1917,156.338943,883001.58735159
2017-10-14 08:00:00,5653.4,5779.99,5600.03,5752.04,316.518372,2017-10-14 15:59:59.999,1802987.29917222,2137,137.119816,781234.50170839
2017-10-14 16:00:00,5741.03,5900.0,5685.02,5869.99,322.895956,2017-10-14 23:59:59.999,1859238.78738563,2205,140.336145,808539.11540236
2017-10-15 00:00:00,5855.03,5922.3,5737.27,5786.11,376.744959,2017-10-15 07:59:59.999,2190691.48833122,2433,186.241506,1082062.93124807
2017-10-15 08:00:00,5786.11,5786.11,5400.01,5544.14,609.534437,2017-10-15 15:59:59.999,3372860.21934243,3149,261.242388,1444951.89848351
2017-10-15 16:00:00,5539.99,5756.36,5468.01,5709.99,357.243979,2017-10-15 23:59:59.999,1990098.49365448,1870,153.938467,857761.87678508
2017-10-16 00:00:00,5710.0,5739.99,5600.01,5628.32,348.051318,2017-10-16 07:59:59.999,1975652.81803116,2187,131.155899,744995.12403922
2017-10-16 08:00:00,5628.31,5749.99,5585.19,5681.22,608.783854,2017-10-16 15:59:59.999,3464004.42067512,3828,306.915761,1746569.85192255
